"words","freqs"
"汽车",94
"激光",38
"发动机",29
"存储介质",25
"电机",21
"传感器",20
"夹具",20
"智能",19
"电子设备",18
"控制系统",15
"驱动",15
"电动",14
"高精度",14
"监测",14
"动力",14
"平台",13
"电动汽车",12
"座椅",12
"制动器",12
"自动化",12
"安全",11
"电子",11
"驾驶",11
"电路",11
"车载",11
"识别方法",10
"生产线",9
"变速箱",8
"介质",8
"管理系统",8
"车门",8
"转向架",8
"冲压",8
"仪表",8
"电池",7
"扫描仪",7
"轴承",7
"导航",7
"电压",7
"车用",7
"液压",7
"燃油箱",6
"冷却系统",6
"高压",6
"集装箱",6
"控制器",6
"离合器",6
"电动车",6
"内燃机",5
"变速器",5
"轨排",5
"静压",5
"光导",5
"通信",5
"钢",5
"动力电池",5
"校准",5
"压装",5
"承载",5
"器件",5
"优化",5
"手动",4
"通过",4
"滑轨",4
"仪表板",4
"衬套",4
"打孔",4
"混凝土",4
"压缩比",4
"高强度",4
"重载",4
"扶手",4

