专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN109406025B,压力测试方法、装置及电子设备,发明授权,2018-10-16,2019-03-01,2020-12-15,北京众达德权知识产权代理有限公司,发明专利权授予,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,.,G01L5/00(2006.01),G01L5/00(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计电气设备生产,专用技术研发与设计汽车测试电控系统生产
CN103895011B,热锻造送料电动关节机械手,发明授权,2014-03-28,2014-07-02,2017-03-01,武汉河山金堂专利事务所(普通合伙),授权,企业,武汉协和齿环有限公司,430056 湖北省武汉市武汉经济技术开发区创业三路38号,CHN,,B25J9/08(2006.01),B25J9/08(2006.01);B25J13/06(2006.01);B21K27/00(2006.01),3.0,3599.0,其他专用设备制造,研发与设计整车组装辅助系统生产,专用技术研发与设计智能装置生产
CN106969329B,光学偏转装置以及照明和/或信号指示装置,发明授权,2016-01-13,2017-07-21,2020-09-15,,发明专利权授予,企业,法雷奥照明湖北技术中心有限公司,湖北省武汉市经济技术开发区耀华路6号,CHN,.,F21S41/20(2018.01),F21S41/20(2018.01);F21S41/32(2018.01);F21S41/37(2018.01);F21S43/20(2018.01);F21S43/31(2018.01);F21S43/33(2018.01);F21W107/10(2018.01),7.0,3545.0,照明器具生产专用设备制造,电气设备生产,车灯生产
CN109203896B,一种实现车身高度调节的悬架系统,发明授权,2018-11-23,2019-01-15,2020-06-09,湖北武汉永嘉专利代理有限公司,发明专利权授予,企业,武汉市炫能清洁能源科技有限公司,430071 湖北省武汉市洪山区珞狮南路425号武汉南国雄楚广场精品生活馆、A1、A3栋A3单元11层8室,CHN,.,B60G15/02(2006.01),B60G15/02(2006.01);B60G17/019(2006.01),2.0,3660.0,汽车零部件及配件制造,辅助系统生产,智能装置生产
CN107403548B,一种洒水车的调度系统和调度方法,发明授权,2017-07-28,2017-11-28,2019-12-27,北京路浩知识产权代理有限公司,授权,企业,武汉依迅北斗空间技术有限公司,430040 湖北省武汉市东湖新技术开发区武大科技园以南、万科城市花园西侧国家地球空间信息产业基地Ⅱ区（6期）A-1幢2层3号,CHN,,G08G1/00(2006.01),G08G1/00(2006.01);G06Q10/04(2012.01);G06Q10/06(2012.01);G06Q50/26(2012.01),4.0,3596.0,交通安全、管制及类似专用设备制造,辅助系统生产,智能装置生产
CN103949852B,一种轨道车辆的枕梁组装方法及枕梁,发明授权,2014-04-21,2014-07-30,2016-08-24,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B23P15/00(2006.01),B23P15/00(2006.01),1.0,3421.0,金属切削机床制造,整车组装,整车组装
CN104442569B,一种汽车监控影像生成方法及系统,发明授权,2014-11-14,2015-03-25,2016-11-02,北京邦信阳专利商标代理有限公司,授权,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,,B60R1/00(2006.01),B60R1/00(2006.01),1.0,3660.0,汽车零部件及配件制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产
CN108317141B,一种具有限位功能的贴碳工装,发明授权,2017-12-26,2018-07-24,2019-08-16,北京市隆安律师事务所,授权,企业,武汉协和齿环有限公司,430056 湖北省武汉市经济技术开发区创业三路38号,CHN,,B25B11/00(2006.01),B25B11/00(2006.01);F16B11/00(2006.01),2.0,3322.0,手工具制造,研发与设计整车组装辅助系统生产,制造工艺研发与设计模具生产
CN109732770B,弧形预埋套管辅助定位装置及方法,发明授权,2019-02-27,2019-05-10,2020-04-14,武汉维盾知识产权代理事务所(普通合伙),发明专利权授予,企业,中交第二航务工程局有限公司,430048 湖北省武汉市金银湖区东西湖路11号,CHN,.,B28B23/00(2006.01),B28B23/00(2006.01),1.0,3515,建筑材料生产专用机械制造,研发与设计,制造工艺研发与设计
CN111558785B,一种用于透明材料三维轮廓加工的方法,发明授权,2020-07-14,2020-08-21,2020-10-23,南京纵横知识产权代理有限公司,发明专利权授予,企业,武汉华工激光工程有限责任公司,430000 湖北省武汉市东湖开发区华中科技大学科技园激光产业园,CHN,.,B23K26/38(2014.01),B23K26/38(2014.01);B23K26/402(2014.01);B23K26/064(2014.01);C03B33/09(2006.01);C03C15/00(2006.01),5.0,3421.0,金属切削机床制造,研发与设计,制造工艺研发与设计
