County,Section,RelationshipCount
"""江夏区""","""汽车销售""",16221
"""东西湖区""","""汽车销售""",10975
"""汉阳区""","""汽车销售""",5251
"""硚口区""","""汽车销售""",6724
"""黄陂区""","""汽车销售""",4551
"""武昌区""","""汽车销售""",7236
"""青山区""","""汽车销售""",3325
"""江岸区""","""汽车销售""",7116
"""江汉区""","""汽车销售""",5698
"""蔡甸区""","""汽车销售""",7901
"""洪山区""","""汽车销售""",5941
"""汉南区""","""汽车销售""",1199
"""新洲区""","""汽车销售""",2505
"""洪山区""","""电气设备生产""",841
"""江岸区""","""电气设备生产""",775
"""黄陂区""","""电气设备生产""",591
"""武昌区""","""电气设备生产""",996
"""青山区""","""电气设备生产""",569
"""江汉区""","""电气设备生产""",680
"""东西湖区""","""电气设备生产""",1505
"""江夏区""","""电气设备生产""",2793
"""蔡甸区""","""电气设备生产""",1794
"""硚口区""","""电气设备生产""",751
"""新洲区""","""电气设备生产""",318
"""汉阳区""","""电气设备生产""",642
"""汉南区""","""电气设备生产""",273
"""黄陂区""","""汽车维修""",2130
"""东西湖区""","""汽车维修""",4690
"""汉阳区""","""汽车维修""",2368
"""江夏区""","""汽车维修""",6499
"""江汉区""","""汽车维修""",1591
"""武昌区""","""汽车维修""",3063
"""江岸区""","""汽车维修""",2931
"""硚口区""","""汽车维修""",2868
"""蔡甸区""","""汽车维修""",4021
"""青山区""","""汽车维修""",1790
"""洪山区""","""汽车维修""",2681
"""汉南区""","""汽车维修""",493
"""新洲区""","""汽车维修""",1272
"""江夏区""","""汽车服务""",6499
"""江岸区""","""汽车服务""",2931
"""蔡甸区""","""汽车服务""",4021
"""东西湖区""","""汽车服务""",4690
"""洪山区""","""汽车服务""",2681
"""黄陂区""","""汽车服务""",2130
"""青山区""","""汽车服务""",1790
"""硚口区""","""汽车服务""",2868
"""江汉区""","""汽车服务""",1591
"""新洲区""","""汽车服务""",1272
"""武昌区""","""汽车服务""",3063
"""汉阳区""","""汽车服务""",2368
"""汉南区""","""汽车服务""",493
"""蔡甸区""","""研发与设计""",2655
"""东西湖区""","""研发与设计""",972
"""汉南区""","""研发与设计""",300
"""黄陂区""","""研发与设计""",315
"""武昌区""","""研发与设计""",687
"""江夏区""","""研发与设计""",2505
"""江岸区""","""研发与设计""",489
"""硚口区""","""研发与设计""",495
"""洪山区""","""研发与设计""",633
"""汉阳区""","""研发与设计""",463
"""江汉区""","""研发与设计""",279
"""青山区""","""研发与设计""",352
"""新洲区""","""研发与设计""",136
"""蔡甸区""","""辅助系统生产""",1186
"""东西湖区""","""辅助系统生产""",177
"""汉阳区""","""辅助系统生产""",91
"""江岸区""","""辅助系统生产""",60
"""江夏区""","""辅助系统生产""",488
"""江汉区""","""辅助系统生产""",26
"""武昌区""","""辅助系统生产""",99
"""汉南区""","""辅助系统生产""",183
"""洪山区""","""辅助系统生产""",59
"""硚口区""","""辅助系统生产""",51
"""青山区""","""辅助系统生产""",62
"""黄陂区""","""辅助系统生产""",87
"""新洲区""","""辅助系统生产""",33
"""蔡甸区""","""车身制造""",486
"""武昌区""","""车身制造""",31
"""汉南区""","""车身制造""",82
"""新洲区""","""车身制造""",17
"""黄陂区""","""车身制造""",45
"""东西湖区""","""车身制造""",60
"""江岸区""","""车身制造""",23
"""青山区""","""车身制造""",21
"""洪山区""","""车身制造""",23
"""江夏区""","""车身制造""",154
"""硚口区""","""车身制造""",23
"""汉阳区""","""车身制造""",24
"""江汉区""","""车身制造""",4
"""蔡甸区""","""发动机制造""",631
"""江夏区""","""发动机制造""",248
"""武昌区""","""发动机制造""",55
"""黄陂区""","""发动机制造""",64
"""青山区""","""发动机制造""",53
"""东西湖区""","""发动机制造""",135
"""硚口区""","""发动机制造""",49
"""江岸区""","""发动机制造""",35
"""汉阳区""","""发动机制造""",51
"""汉南区""","""发动机制造""",96
"""新洲区""","""发动机制造""",27
"""洪山区""","""发动机制造""",39
"""江汉区""","""发动机制造""",13
"""江夏区""","""汽车底盘生产""",116
"""青山区""","""汽车底盘生产""",25
"""蔡甸区""","""汽车底盘生产""",332
"""硚口区""","""汽车底盘生产""",20
"""洪山区""","""汽车底盘生产""",24
"""江岸区""","""汽车底盘生产""",19
"""东西湖区""","""汽车底盘生产""",51
"""汉南区""","""汽车底盘生产""",49
"""汉阳区""","""汽车底盘生产""",27
"""武昌区""","""汽车底盘生产""",26
"""黄陂区""","""汽车底盘生产""",26
"""江汉区""","""汽车底盘生产""",7
"""新洲区""","""汽车底盘生产""",12
